Name,NetWorth,Country,Source,Rank,Age,Industry
Candido Pinheiro Koren de Lima,3.7,Brazil,"hospitals, health insurance",807,74.0,Healthcare
J. Joe Ricketts & family,3.7,United States,TD Ameritrade,807,79.0,Finance & Investments
Jeff Rothschild,3.7,United States,Facebook,807,66.0,Technology
David Rubenstein,3.7,United States,private equity,807,71.0,Finance & Investments
Maria-Elisabeth Schaeffler-Thumann,3.7,Germany,auto parts,807,79.0,Automotive
Steven Spielberg,3.7,United States,movies,807,74.0,Media & Entertainment
Barry Sternlicht,3.7,United States,private equity,807,60.0,Finance & Investments
Mark Stevens,3.7,United States,venture capital,807,61.0,Finance & Investments
David Steward,3.7,United States,IT provider,807,69.0,Technology
Vincent Viola,3.7,United States,electronic trading,807,65.0,Finance & Investments
Todd Wanek,3.7,United States,furniture,807,57.0,Manufacturing
Wang Roger,3.7,United States,retail,807,72.0,Fashion & Retail
Russ Weiner,3.7,United States,energy drinks,807,50.0,Food & Beverage
Herbert Wertheim,3.7,United States,investments,807,81.0,Finance & Investments
Xu Shugen,3.7,China,"construction, mining machinery",807,55.0,Manufacturing
Anil Agarwal & family,3.6,India,"mining, metals",831,67.0,Metals & Mining
Leonid Boguslavsky,3.6,Russia,venture capital,831,69.0,Finance & Investments
"Austen Cargill, II.",3.6,United States,Cargill,831,70.0,Food & Beverage
"James Cargill, II.",3.6,United States,Cargill,831,71.0,Food & Beverage
Chu Lam Yiu,3.6,Hong Kong,flavorings,831,51.0,Manufacturing
Steve Conine,3.6,United States,online retail,831,48.0,Technology
Hu Kaijun,3.6,China,pharmaceuticals,831,59.0,Healthcare
S. Curtis Johnson,3.6,United States,cleaning products,831,65.0,Manufacturing
Helen Johnson-Leipold,3.6,United States,cleaning products,831,64.0,Manufacturing
Daryl Katz,3.6,Canada,pharmacies,831,59.0,Diversified
Peter Kellogg,3.6,United States,investments,831,78.0,Finance & Investments
Samuel Tak Lee,3.6,Hong Kong,real estate,831,81.0,Real Estate
Li Hongxin & family,3.6,China,paper & related products,831,68.0,Manufacturing
Marianne Liebmann,3.6,United States,Cargill,831,67.0,Food & Beverage
Winifred J. Marquart,3.6,United States,cleaning products,831,62.0,Manufacturing
Daniel Och,3.6,United States,hedge funds,831,60.0,Finance & Investments
Anthony Pritzker,3.6,United States,"hotels, investments",831,60.0,Service
Rodger Riney & family,3.6,United States,discount brokerage,831,75.0,Finance & Investments
Niraj Shah,3.6,United States,online retail,831,47.0,Technology
Lynsi Snyder,3.6,United States,In-N-Out Burger,831,38.0,Food & Beverage
Jerzy Starak,3.6,Poland,pharmaceuticals,831,73.0,Healthcare
Michael Tojner,3.6,Austria,"batteries, investments",831,55.0,Manufacturing
Richard Tsai,3.6,Taiwan,finance,831,63.0,Finance & Investments
Ty Warner,3.6,United States,"real estate, plush toys",831,76.0,Real Estate
Yang Shaopeng,3.6,China,shipping,831,63.0,Logistics
Yuan Liping,3.6,Canada,pharmaceuticals,831,50.0,Healthcare
Zhang Hongwei,3.6,China,"oil, banking",831,66.0,Diversified
Andrej Babis,3.5,Czechia,agriculture,859,66.0,Food & Beverage
Shyam & Hari Bhartia,3.5,India,diversified,859,68.0,Diversified
Hubert Burda,3.5,Germany,publishing,859,81.0,Media & Entertainment
Chuchat Petaumpai & Daonapa Petampai,3.5,Thailand,motorcycle loans,859,67.0,Finance & Investments
Charles Cohen,3.5,United States,real estate,859,69.0,Real Estate
David Filo,3.5,United States,Yahoo,859,54.0,Technology
Sergei Galitsky,3.5,Russia,retail,859,53.0,Fashion & Retail
Alessandra Garavoglia,3.5,Italy,spirits,859,61.0,Food & Beverage
Franco Bittar Garcia,3.5,Brazil,retailing,859,37.0,Fashion & Retail
Martha Ingram & family,3.5,United States,"book distribution, transportation",859,85.0,Media & Entertainment
H. Fisk Johnson,3.5,United States,cleaning products,859,62.0,Manufacturing
Li Guoqiang,3.5,China,auto dealerships,859,57.0,Automotive
Lim Wee Chai,3.5,Malaysia,rubber gloves,859,63.0,Manufacturing
Liu Xiaodong,3.5,China,flavorings,859,53.0,Manufacturing
Daniel Loeb,3.5,United States,hedge funds,859,59.0,Finance & Investments
Jim McKelvey,3.5,United States,mobile payments,859,55.0,Technology
Apoorva Mehta,3.5,Canada,grocery delivery service,859,34.0,Technology
N.R. Narayana Murthy,3.5,India,software services,859,74.0,Technology
John Paulson,3.5,United States,hedge funds,859,65.0,Finance & Investments
J.B. Pritzker,3.5,United States,"hotels, investments",859,56.0,Finance & Investments
Michael Rubin,3.5,United States,online retail,859,48.0,Fashion & Retail
Arnout Schuijff,3.5,Netherlands,payments software,859,53.0,Technology
Thomas Secunda,3.5,United States,Bloomberg LP,859,66.0,Media & Entertainment
Vivek Chaand Sehgal,3.5,Australia,auto parts,859,64.0,Automotive
E. Joe Shoen,3.5,United States,U-Haul,859,71.0,Automotive
Leena Tewari,3.5,India,pharmaceuticals,859,63.0,Healthcare
Romesh T. Wadhwani,3.5,United States,software,859,73.0,Technology
Wu Shaoxun,3.5,China,wine,859,65.0,Food & Beverage
Ye Guofu,3.5,China,retail,859,43.0,Fashion & Retail
Denise York & family,3.5,United States,San Francisco 49ers,859,70.0,Sports
Zhou Jianping,3.5,China,fashion retail,859,60.0,Fashion & Retail
Mohed Altrad,3.4,France,"scaffolding, cement mixers",891,73.0,Construction & Engineering
Gayle Benson,3.4,United States,pro sports teams,891,74.0,Sports
Francesco Gaetano Caltagirone,3.4,Italy,"cement, diversified",891,78.0,Construction & Engineering
"William Conway, Jr.",3.4,United States,private equity,891,71.0,Finance & Investments
Jim Davis,3.4,United States,staffing & recruiting,891,61.0,Service
Deng Wen,3.4,China,flavorings,891,53.0,Food & Beverage
Ennio Doris & family,3.4,Italy,financial services,891,80.0,Finance & Investments
Bernard Ecclestone & family,3.4,United Kingdom,Formula One,891,90.0,Sports
Alexander Frolov,3.4,Russia,"mining, steel",891,56.0,Metals & Mining
Fiona Geminder,3.4,Australia,manufacturing,891,56.0,Manufacturing
Zarakh Iliev,3.4,Russia,real estate,891,54.0,Real Estate
Viktor Kharitonin,3.4,Russia,pharmaceuticals,891,48.0,Healthcare
Steven Klinsky,3.4,United States,investments,891,64.0,Finance & Investments
Chris Larsen,3.4,United States,cryptocurrency,891,60.0,Finance & Investments
Angela Leong,3.4,Hong Kong,casinos,891,60.0,Real Estate
Margarita Louis-Dreyfus & family,3.4,Switzerland,commodities,891,58.0,Food & Beverage
John Middleton,3.4,United States,tobacco,891,66.0,Food & Beverage
Arnon Milchan,3.4,Israel,movie making,891,76.0,Media & Entertainment
Arturo Moreno,3.4,United States,"billboards, Anaheim Angels",891,74.0,Sports
God Nisanov,3.4,Russia,real estate,891,48.0,Real Estate
Benjamin Zhengmin Pan & family,3.4,China,electronics,891,51.0,Technology
Jay Paul,3.4,United States,real estate,891,73.0,Real Estate
Remo Ruffini,3.4,Italy,winter jackets,891,59.0,Fashion & Retail
Patrick Ryan,3.4,United States,insurance,891,83.0,Finance & Investments
RJ Scaringe,3.4,United States,electric vehicles,891,38.0,Automotive
Lynn Schusterman,3.4,United States,"oil & gas, investments",891,82.0,Energy
Eric Ya Shen,3.4,China,online apparel retail,891,50.0,Technology
Daniel Tsai,3.4,Taiwan,finance,891,64.0,Finance & Investments
Tung Chee Chen,3.4,Hong Kong,shipping,891,78.0,Logistics
Bulat Utemuratov,3.4,Kazakhstan,"mining, banking, hotels",891,63.0,Metals & Mining
Frank VanderSloot,3.4,United States,"nutrition, wellness products",891,72.0,Fashion & Retail
Kelcy Warren,3.4,United States,pipelines,891,65.0,Energy
Xu Yi,3.4,China,Internet,891,31.0,Media & Entertainment
Vladimir Yevtushenkov,3.4,Russia,"telecom, investments",891,72.0,Telecom
Somphote Ahunai,3.3,Thailand,renewable energy,925,53.0,Energy
John Arnold,3.3,United States,hedge funds,925,47.0,Finance & Investments
Neal Blue & family,3.3,United States,defense,925,86.0,Manufacturing
Alejandro Bulgheroni,3.3,Argentina,oil & gas,925,76.0,Energy
Dong Jinggui,3.3,China,electric scooters,925,51.0,Automotive
Joseph Edelman,3.3,United States,hedge funds,925,65.0,Finance & Investments
Charles Edelstenne,3.3,France,aviation,925,83.0,Manufacturing
Senapathy Gopalakrishnan,3.3,India,software services,925,66.0,Technology
B. Wayne Hughes,3.3,United States,self storage,925,87.0,Service
Ravi Jaipuria,3.3,India,"soft drinks, fast food",925,66.0,Food & Beverage
Samvel Karapetyan,3.3,Russia,real estate,925,55.0,Construction & Engineering
Vyacheslav Kim,3.3,Kazakhstan,fintech,925,51.0,Finance & Investments
Jim Koch,3.3,United States,beer,925,71.0,Food & Beverage
"Andre Koo, Sr.",3.3,Taiwan,financial services,925,53.0,Finance & Investments
Yuri Kovalchuk,3.3,Russia,"banking, insurance, media",925,69.0,Finance & Investments
Richard LeFrak & family,3.3,United States,real estate,925,75.0,Real Estate
Kevin David Lehmann,3.3,Germany,drugstores,925,18.0,Fashion & Retail
Horst Paulmann & family,3.3,Chile,retail,925,86.0,Fashion & Retail
Jean (Gigi) Pritzker,3.3,United States,"hotels, investments",925,58.0,Service
Qi Xiangdong,3.3,China,software,925,50.0,Technology
Renzo Rosso & family,3.3,Italy,fashion,925,65.0,Fashion & Retail
Stephen Rubin,3.3,United Kingdom,sports apparel,925,84.0,Fashion & Retail
"Bernard Saul, II.",3.3,United States,"banking, real estate",925,88.0,Finance & Investments
Tahir & family,3.3,Indonesia,diversified,925,69.0,Diversified
Lucio Tan,3.3,Philippines,diversified,925,86.0,Diversified
Lottie Tham & family,3.3,Sweden,H&M,925,71.0,Fashion & Retail
Wang Wenxue,3.3,China,real estate,925,53.0,Real Estate
Hans Peter Wild,3.3,Switzerland,flavorings,925,79.0,Food & Beverage
"William Wrigley, Jr.",3.3,United States,chewing gum,925,57.0,Food & Beverage
Zhang Xin & Pan Shiyi,3.3,China,real estate,925,55.0,Real Estate
Giuliana Benetton,3.2,Italy,"fashion retail, investments",956,83.0,Fashion & Retail
Luciano Benetton,3.2,Italy,"fashion retail, investments",956,85.0,Fashion & Retail
Tomasz Biernacki,3.2,Poland,supermarkets,956,48.0,Fashion & Retail
Chey Tae-won,3.2,South Korea,"oil, semiconductor",956,60.0,Telecom
John Collison,3.2,Ireland,payments software,956,30.0,Technology
Patrick Collison,3.2,Ireland,payment software,956,32.0,Technology
Jack Cowin,3.2,Australia,fast food,956,78.0,Food & Beverage
Archie Aldis Emmerson & family,3.2,United States,"timberland, lumber mills",956,91.0,Manufacturing
Juan Carlos Escotet,3.2,Venezuela,banking,956,61.0,Finance & Investments
Carlo Fidani,3.2,Canada,real estate,956,66.0,Real Estate
Don Hankey,3.2,United States,auto loans,956,77.0,Finance & Investments
Otto Happel,3.2,Germany,engineering,956,73.0,Construction & Engineering
He Zhaoxi,3.2,China,software,956,47.0,Technology
Heidi Horten,3.2,Austria,retail,956,80.0,Fashion & Retail
Ke Zunhong & family,3.2,China,pharmaceuticals,956,66.0,Healthcare
Thai Lee,3.2,United States,IT provider,956,62.0,Technology
Mikhail Lomtadze,3.2,Georgia,fintech,956,45.0,Finance & Investments
Ronald McAulay,3.2,Hong Kong,energy,956,85.0,Energy
Maja Oeri,3.2,Switzerland,Pharmaceuticals,956,66.0,Healthcare
James Packer,3.2,Australia,casinos,956,53.0,Gambling & Casinos
John Sall,3.2,United States,software,956,73.0,Technology
Naguib Sawiris,3.2,Egypt,telecom,956,66.0,Telecom
Zygmunt Solorz-Zak,3.2,Poland,TV broadcasting,956,64.0,Media & Entertainment
Lawrence Stroll,3.2,Canada,fashion investments,956,61.0,Fashion & Retail
Rita Tong Liu,3.2,Hong Kong,real estate,956,72.0,Real Estate
Tsai Cheng-ta,3.2,Taiwan,finance,956,71.0,Finance & Investments
Tsai Hong-tu,3.2,Taiwan,finance,956,68.0,Finance & Investments
Steve Wynn,3.2,United States,"casinos, hotels",956,79.0,Gambling & Casinos
Zhang Li,3.2,China,real estate,956,68.0,Real Estate
Otto Philipp Braun,3.1,Germany,medical technology,986,43.0,Healthcare
John Caudwell,3.1,United Kingdom,mobile phones,986,68.0,Telecom
Chi Yufeng,3.1,China,software,986,50.0,Technology
Camilla de Godoy Bueno Grossi,3.1,Brazil,medical labs,986,42.0,Healthcare
Antonio Del Valle Ruiz & family,3.1,Mexico,chemicals,986,82.0,Manufacturing
Martin Ebner,3.1,Switzerland,investments,986,75.0,Finance & Investments
John Fisher,3.1,United States,Gap,986,59.0,Fashion & Retail
Jane Goldman,3.1,United States,real estate,986,65.0,Real Estate
Gu Yuhua & family,3.1,China,furniture,986,71.0,Manufacturing
Hao Hong,3.1,United States,pharmaceuticals,986,65.0,Healthcare
Hoi Kin Hong,3.1,Macao,real estate,986,68.0,Real Estate
Jin Lei,3.1,China,pharmaceuticals,986,55.0,Healthcare
Artem Khachatryan,3.1,Russia,retail,986,46.0,Fashion & Retail
Li Gaiteng,3.1,China,hair dryers,986,48.0,Manufacturing
Li Zhongchu,3.1,China,software,986,57.0,Technology
Harald Link,3.1,Thailand,diversified,986,66.0,Diversified
Sergey Lomakin,3.1,Russia,retail,986,47.0,Fashion & Retail
Nie Tengyun & family,3.1,China,logistics,986,45.0,Service
Prasert Prasarttong-Osoth,3.1,Thailand,hospitals,986,88.0,Healthcare
Penny Pritzker,3.1,United States,"hotels, investments",986,61.0,Finance & Investments
Herb Simon,3.1,United States,real estate,986,86.0,Real Estate
Jerry Speyer,3.1,United States,real estate,986,80.0,Real Estate
Wilhelm Beier & family,3.0,Germany,pharmaceuticals,1008,64.0,Healthcare
Koos Bekker,3.0,South Africa,"media, investments",1008,68.0,Media & Entertainment
Ben Chestnut,3.0,United States,email marketing,1008,46.0,Technology
John Coates,3.0,United Kingdom,online gambling,1008,51.0,Gambling & Casinos
Pedro de Godoy Bueno,3.0,Brazil,health insurance,1008,30.0,Healthcare
Carl Douglas,3.0,Sweden,investments,1008,59.0,Diversified
Eric Douglas,3.0,Sweden,investments,1008,52.0,Diversified
Behdad Eghbali,3.0,United States,private equity,1008,44.0,Finance & Investments
Jose E. Feliciano,3.0,United States,private equity,1008,47.0,Finance & Investments
Philippe Foriel-Destezet,3.0,France,employment agency,1008,85.0,Service
Gan Zhongru,3.0,China,pharmaceuticals,1008,72.0,Healthcare
Allan Goldman,3.0,United States,real estate,1008,78.0,Real Estate
Amy Goldman Fowler,3.0,United States,real estate,1008,66.0,Real Estate
Alec Gores,3.0,United States,private equity,1008,68.0,Finance & Investments
Peter Grogg,3.0,Switzerland,biochemicals,1008,79.0,Healthcare
Jimmy Haslam,3.0,United States,"gas stations, retail",1008,67.0,Fashion & Retail
Christian Haub,3.0,Germany,retail,1008,56.0,Fashion & Retail
Gudrun Heine,3.0,Germany,medical devices,1008,66.0,Healthcare
Huang Jinfeng,3.0,China,e-commerce,1008,38.0,Fashion & Retail
Huang Rulun,3.0,China,real estate,1008,69.0,Real Estate
James Irsay,3.0,United States,Indianapolis Colts,1008,61.0,Sports
Justin Ishbia,3.0,United States,★,1008,43.0,Finance & Investments
Diane Kemper,3.0,United States,real estate,1008,75.0,Real Estate
George Kurtz,3.0,United States,security software,1008,50.0,Technology
Dan Kurzius,3.0,United States,email marketing,1008,49.0,Technology
Kwek Leng Beng,3.0,Singapore,diversified,1008,80.0,Diversified
Geoffrey Kwok,3.0,Hong Kong,real estate,1008,35.0,Real Estate
Sheldon Lavin,3.0,United States,meat processing,1008,88.0,Food & Beverage
Louis Le Duff,3.0,France,bakeries,1008,74.0,Food & Beverage
James Leprino,3.0,United States,cheese,1008,83.0,Food & Beverage
Joseph Liemandt,3.0,United States,software,1008,52.0,Technology
Peter Lim,3.0,Singapore,investments,1008,67.0,Finance & Investments
Jeffrey Lurie,3.0,United States,Philadelphia Eagles,1008,69.0,Sports
Tom Morris,3.0,United Kingdom,retail,1008,66.0,Fashion & Retail
Or Wai Sheun,3.0,Hong Kong,real estate,1008,69.0,Real Estate
P.V. Ramprasad Reddy,3.0,India,pharmaceuticals,1008,63.0,Healthcare
Haim Saban,3.0,United States,"TV network, investments",1008,76.0,Media & Entertainment
Ferit Faik Sahenk,3.0,Turkey,diversified,1008,57.0,Diversified
Eddy Kusnadi Sariaatmadja,3.0,Indonesia,"media, tech",1008,67.0,Media & Entertainment
Gil Shwed,3.0,Israel,software,1008,52.0,Technology
Song Zuowen,3.0,China,"aluminum, diversified",1008,74.0,Diversified
Friede Springer,3.0,Germany,publishing,1008,78.0,Media & Entertainment
Sybill Storz,3.0,Germany,medical devices,1008,84.0,Healthcare
Pat Stryker,3.0,United States,medical equipment,1008,65.0,Healthcare
Hans Sy,3.0,Philippines,diversified,1008,65.0,Diversified
Herbert Sy,3.0,Philippines,diversified,1008,64.0,Diversified
Andrew Tan,3.0,Philippines,diversified,1008,71.0,Diversified
Tian Ming,3.0,China,measuring instruments,1008,67.0,Technology
Wang Changtian,3.0,China,"TV, movie production",1008,55.0,Media & Entertainment
Richard White,3.0,Australia,software,1008,66.0,Technology
Cameron Winklevoss,3.0,United States,cryptocurrency,1008,39.0,Finance & Investments
Tyler Winklevoss,3.0,United States,cryptocurrency,1008,39.0,Finance & Investments
Xia Zuoquan,3.0,China,automobiles,1008,59.0,Automotive
Yin Xin,3.0,China,video streaming app,1008,36.0,Media & Entertainment
Zhang Lei,3.0,China,investments,1008,48.0,Finance & Investments
Zhu Xingming,3.0,China,electrical equipment,1008,54.0,Manufacturing
Juan Abello,2.9,Spain,investments,1064,79.0,Finance & Investments
Ben Ashkenazy,2.9,United States,real estate,1064,51.0,Real Estate
Sid Bass,2.9,United States,"oil, investments",1064,78.0,Energy
Joesley Batista,2.9,Brazil,beef processing,1064,49.0,Food & Beverage
Wesley Batista,2.9,Brazil,beef packing,1064,48.0,Food & Beverage
Riley Bechtel & family,2.9,United States,"engineering, construction",1064,69.0,Construction & Engineering
Sanjeev Bikhchandani,2.9,India,Internet,1064,57.0,Technology
Cao Ji,2.9,China,manufacturing,1064,69.0,Manufacturing
Chen Kaixuan,2.9,China,household chemicals,1064,62.0,Manufacturing
Bennett Dorrance,2.9,United States,Campbell Soup,1064,75.0,Food & Beverage
Marcel Erni,2.9,Switzerland,private equity,1064,56.0,Finance & Investments
Walter Faria,2.9,Brazil,beer,1064,66.0,Food & Beverage
Fu Guangming & family,2.9,China,poultry,1064,67.0,Food & Beverage
Bob Gaglardi,2.9,Canada,hotels,1064,80.0,Real Estate
Alfred Gantner,2.9,Switzerland,private equity,1064,53.0,Finance & Investments
Maggie Hardy Knox,2.9,United States,building materials,1064,55.0,Service
Hu Yangzhong,2.9,China,technology,1064,56.0,Technology
Huang Qiaoling,2.9,China,amusement parks,1064,62.0,Media & Entertainment
Huang Zhenda & family,2.9,China,construction,1064,73.0,Construction & Engineering
Bradley Jacobs,2.9,United States,logistics,1064,64.0,Logistics
Osman Kibar,2.9,United States,biotech,1064,50.0,Healthcare
Kim Taek-jin,2.9,South Korea,online games,1064,54.0,Media & Entertainment
Maritsa Lazari & family,2.9,United Kingdom,real estate,1064,76.0,Real Estate
Pablo Legorreta,2.9,United States,investments,1064,57.0,Finance & Investments
Liang Yunchao,2.9,China,nutritional supplements,1064,52.0,Food & Beverage
Samir Mehta,2.9,India,"pharmaceuticals, power",1064,57.0,Healthcare
Sudhir Mehta,2.9,India,"pharmaceuticals, power",1064,66.0,Healthcare
Farhad Moshiri,2.9,United Kingdom,diversified,1064,65.0,Diversified
Patrice Motsepe,2.9,South Africa,mining,1064,59.0,Metals & Mining
Matt Moulding,2.9,United Kingdom,e-commerce,1064,49.0,Fashion & Retail
Alexander Nesis,2.9,Russia,"metals, banking, fertilizers",1064,58.0,Finance & Investments
Lucy Peng,2.9,China,e-commerce,1064,48.0,Technology
Sebastian Piñera & family,2.9,Chile,investments,1064,71.0,Finance & Investments
Alexander Ponomarenko,2.9,Russia,"real estate, airport",1064,56.0,Logistics
Chandru Raheja,2.9,India,real estate,1064,80.0,Real Estate
Chad Richison,2.9,United States,payroll processing,1064,50.0,Technology
Arkady Rotenberg,2.9,Russia,"construction, pipes, banking",1064,69.0,Construction & Engineering
Alejandro Santo Domingo,2.9,United States,beer,1064,44.0,Food & Beverage
Paul Sciarra,2.9,United States,Pinterest,1064,40.0,Technology
Alexander Skorobogatko,2.9,Russia,"real estate, airport",1064,53.0,Logistics
Jeff Sutton,2.9,United States,real estate,1064,61.0,Real Estate
Glen Taylor,2.9,United States,printing,1064,79.0,Service
Urs Wietlisbach,2.9,Switzerland,private equity,1064,59.0,Finance & Investments
Xu Yingzhuo,2.9,China,agribusiness,1064,53.0,Food & Beverage
Jon Yarbrough,2.9,United States,video games,1064,63.0,Gambling & Casinos
Ye Fan & family,2.9,China,auto dealerships,1064,50.0,Automotive
William Ackman,2.8,United States,hedge funds,1111,54.0,Finance & Investments
Bai Baokun,2.8,China,hardware,1111,51.0,Manufacturing
David Baszucki,2.8,United States,online games,1111,58.0,Media & Entertainment
Aneel Bhusri,2.8,United States,business software,1111,55.0,Technology
Norman Braman,2.8,United States,"art, car dealerships",1111,88.0,Automotive
Eva Maria Bucher-Haefner,2.8,Switzerland,"software, investments",1111,64.0,Technology
Vivek Chand Burman,2.8,India,consumer goods,1111,83.0,Food & Beverage
John Catsimatidis,2.8,United States,"oil, real estate",1111,72.0,Energy
Morris Chang,2.8,Taiwan,semiconductors,1111,89.0,Technology
Chen Hua,2.8,China,real estate,1111,55.0,Real Estate
Chen Huwen,2.8,China,stationery,1111,50.0,Manufacturing
Chen Huxiong,2.8,China,stationery,1111,50.0,Manufacturing
Chen Tianshi,2.8,China,semiconductors,1111,36.0,Technology
James Clark,2.8,United States,"Netscape, investments",1111,77.0,Technology
Jean Coutu & family,2.8,Canada,drugstores,1111,93.0,Fashion & Retail
Deng Weiming & family,2.8,China,materials,1111,52.0,Manufacturing
Bergit Douglas,2.8,Germany,consumer goods,1111,74.0,Food & Beverage
Doris Fisher,2.8,United States,Gap,1111,89.0,Fashion & Retail
Gary Friedman,2.8,United States,Furniture retail,1111,63.0,Fashion & Retail
Valentin Gapontsev & family,2.8,United States,lasers,1111,82.0,Manufacturing
David Gottesman,2.8,United States,investments,1111,94.0,Finance & Investments
John Henry,2.8,United States,sports,1111,71.0,Sports
Alan Howard,2.8,United Kingdom,hedge funds,1111,57.0,Finance & Investments
Micky Jagtiani,2.8,India,retail,1111,69.0,Fashion & Retail
Travis Kalanick,2.8,United States,Uber,1111,44.0,Technology
Alicia Koplowitz,2.8,Spain,"construction, investments",1111,67.0,Finance & Investments
Timur Kulibaev,2.8,Kazakhstan,banking,1111,54.0,Finance & Investments
Dinara Kulibaeva,2.8,Kazakhstan,banking,1111,53.0,Finance & Investments
Li Liufa & family,2.8,China,"steel, diversified",1111,63.0,Diversified
Li Sze Lim,2.8,Hong Kong,real estate,1111,64.0,Real Estate
Li Xiaohua & family,2.8,China,packaging,1111,59.0,Manufacturing
Liu Ming Hui,2.8,China,natural gas distribution,1111,58.0,Energy
Lv Jianming,2.8,Hong Kong,medical equipment,1111,56.0,Healthcare
Rudy Ma,2.8,Taiwan,finance,1111,80.0,Finance & Investments
"Drayton McLane, Jr.",2.8,United States,"Walmart, logistics",1111,84.0,Fashion & Retail
Hans Melchers,2.8,Netherlands,"chemicals, investments",1111,82.0,Finance & Investments
Nguyen Thi Phuong Thao,2.8,Vietnam,airlines,1111,50.0,Diversified
Philip Niarchos,2.8,Greece,art collection,1111,67.0,Diversified
Alfred Oetker,2.8,Germany,consumer goods,1111,54.0,Fashion & Retail
August Oetker,2.8,Germany,consumer goods,1111,76.0,Fashion & Retail
Carl Ferdinand Oetker,2.8,Germany,consumer goods,1111,48.0,Fashion & Retail
Christian Oetker,2.8,Germany,consumer goods,1111,72.0,Fashion & Retail
Julia Oetker,2.8,Germany,consumer goods,1111,42.0,Fashion & Retail
Richard Oetker,2.8,Germany,consumer goods,1111,70.0,Fashion & Retail
Heloise Pratt,2.8,Australia,"manufacturing, investment",1111,58.0,Manufacturing
Filiz Sahenk,2.8,Turkey,diversified,1111,54.0,Diversified
T. Denny Sanford,2.8,United States,"banking, credit cards",1111,85.0,Finance & Investments
Hilton Schlosberg,2.8,United Kingdom,energy drinks,1111,68.0,Food & Beverage
Rosely Schweizer,2.8,Germany,consumer goods,1111,80.0,Fashion & Retail
Warren Stephens,2.8,United States,investment banking,1111,64.0,Finance & Investments
Konstantin Strukov,2.8,Russia,"gold, coal mining",1111,62.0,Metals & Mining
Kenneth Tuchman,2.8,United States,outsourcing,1111,61.0,Service
Masateru Uno & family,2.8,Japan,drugstores,1111,74.0,Fashion & Retail
Stefan von Holtzbrinck,2.8,Germany,publishing,1111,57.0,Media & Entertainment
Lars Wingefors,2.8,Sweden,video games,1111,44.0,Media & Entertainment
Wong Kwong Yu & family,2.8,China,retail,1111,51.0,Fashion & Retail
Xiong Wu,2.8,China,software,1111,45.0,Technology
Xu Jinfu,2.8,China,chemicals,1111,57.0,Manufacturing
Tony Xu,2.8,United States,food delivery service,1111,36.0,Technology
Xu Zhihan,2.8,China,electronics,1111,48.0,Technology
Zhong Ruonong & family,2.8,China,electronics,1111,58.0,Manufacturing
Miriam Baumann-Blocher,2.7,Switzerland,chemicals,1174,46.0,Manufacturing
Timothy Boyle,2.7,United States,Columbia Sportswear,1174,71.0,Fashion & Retail
John Paul DeJoria,2.7,United States,"hair products, tequila",1174,76.0,Fashion & Retail
Mitchell Goldhar,2.7,Canada,real estate,1174,59.0,Real Estate
Luciano Hang,2.7,Brazil,department stores,1174,58.0,Fashion & Retail
Georg Haub,2.7,Germany,retail,1174,59.0,Fashion & Retail
Victor Jacobsson,2.7,Sweden,fintech,1174,39.0,Finance & Investments
James Jannard,2.7,United States,sunglasses,1174,71.0,Fashion & Retail
Vinod Khosla,2.7,United States,venture capital,1174,66.0,Technology
Valentin Kipyatkov,2.7,Russia,computer software,1174,44.0,Technology
Lim Kok Thay,2.7,Malaysia,casinos,1174,69.0,Gambling & Casinos
Lu Zhiqiang,2.7,China,real estate,1174,68.0,Real Estate
Sergio Mantegazza,2.7,Switzerland,travel,1174,93.0,Service
Nan Cunhui,2.7,China,power equipment,1174,57.0,Manufacturing
Ou Zongrong & family,2.7,China,real estate,1174,57.0,Real Estate
Sean Parker,2.7,United States,Facebook,1174,41.0,Technology
Richard Peery,2.7,United States,real estate,1174,82.0,Real Estate
"H. Ross Perot, Jr.",2.7,United States,real estate,1174,62.0,Real Estate
Su Suyu & family,2.7,China,"utilities, real estate",1174,72.0,Real Estate
Sun Shoukuan,2.7,China,"metals, coal",1174,71.0,Manufacturing
Harley Sy,2.7,Philippines,diversified,1174,61.0,Diversified
"Henry Sy, Jr.",2.7,Philippines,diversified,1174,68.0,Diversified
Teresita Sy-Coson,2.7,Philippines,diversified,1174,70.0,Diversified
Tao Yuequn,2.7,China,Contact Lens,1174,61.0,Fashion & Retail
Tong Jinquan,2.7,China,real estate,1174,66.0,Real Estate
Tsai Ming-kai,2.7,Taiwan,semiconductors,1174,71.0,Technology
Yitzhak Tshuva,2.7,Israel,real estate,1174,72.0,Real Estate
Oprah Winfrey,2.7,United States,TV shows,1174,67.0,Media & Entertainment
Zhang Wanzhen,2.7,China,electronics components,1174,71.0,Manufacturing
Mortimer Zuckerman,2.7,United States,"real estate, media",1174,83.0,Real Estate
Brian Acton,2.6,United States,WhatsApp,1205,49.0,Technology
Rajendra Agarwal,2.6,India,pharmaceuticals,1205,62.0,Healthcare
John Armitage,2.6,Ireland,hedge funds,1205,61.0,Finance & Investments
Banwari Lal Bawri,2.6,India,pharmaceuticals,1205,68.0,Healthcare
Girdhari Lal Bawri,2.6,India,pharmaceuticals,1205,73.0,Healthcare
Guilherme Benchimol,2.6,Brazil,financial services,1205,44.0,Finance & Investments
Cai Dongchen,2.6,China,pharmaceuticals,1205,68.0,Healthcare
